State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.30%,56.70%,54.20%,"2,123,584","2,103,027","3,706,769","3,883,145",3.40%,"20,439","33,843","5,021","44,751",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,Official,59.90%,58.50%,56.60%,"378,995","370,093","632,989","653,841",2.30%,"3,478",0,"2,611","6,089",,SD
Tennessee,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,Official,,51.20%,48.60%,,"2,508,027","4,899,384","5,164,969",3.70%,"27,901","62,325","13,093","76,519",,TN
Texas,http://elections.sos.state.tx.us/elchist319_state.htm,Official,51.60%,51.60%,43.40%,"8,975,000","8,969,226","17,396,296","20,671,564",13.50%,"155,413","378,937","111,892","483,299",,TX
Utah,https://elections.utah.gov/election-resources/2016-election-information,Official,57.70%,56.70%,52.80%,"1,152,369","1,131,430","1,995,987","2,144,784",6.70%,"6,142",0,0,"6,142",,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.80%,63.70%,62.30%,"320,467","315,067","494,879","506,048",2.20%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,Official,,66.10%,60.80%,,"3,984,631","6,027,262","6,551,390",6.90%,"37,701","54,966","1,576","70,608",,VA
Washington,http://results.vote.wa.gov/results/current/,Final,65.70%,64.80%,58.30%,"3,363,440","3,317,019","5,121,782","5,691,833",8.60%,"17,515","93,535","11,198","82,028",,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,Official,,50.10%,49.20%,,"714,423","1,425,962","1,453,201",0.90%,"7,100","7,008","3,123","14,218",,WV
Wisconsin,http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf,Official,,69.40%,66.20%,,"2,976,150","4,288,320","4,495,783",3.10%,"22,466","46,144","19,453","68,221",,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,Official,60.40%,59.70%,57.30%,"258,788","255,849","428,283","446,396",2.70%,"2,369","5,113",812,"6,095",,WY
